,State/ Uts,Geographical Area,2013 Assessment - Very Dense Forest,2013 Assessment - Mod. Dense Forest,2013 Assessment - Open Forest Forest,2013 Assessment - Total Forest Forest,Percent of Geographical Area,Change in Forest Cover wrt ISFR 2011,Change percent,Scrub
0,Andhra Pradesh,275069.0,,26079.0,19187.0,46116.0,16.77,-273.0,-0.1,"10,465"
1,Arunachal Pradesh,83743.0,20828.0,31414.0,15079.0,67321.0,80.39,-89.0,-0.11,121
2,Assam,78438.0,1444.0,11345.0,14882.0,27671.0,35.28,-2.0,0.0,182
3,Bihar,94163.0,,3380.0,3664.0,7291.0,7.74,446.0,0.47,115
4,Chhattisgarh,135191.0,4153.0,34865.0,16603.0,55621.0,41.14,-53.0,-0.04,117
5,Delhi,1483.0,,,,,12.12,3.61,0.24,2.24
6,Goa,3702.0,,,,,59.94,0.0,0.0,0
7,Gujarat,196022.0,,5220.0,9057.0,14653.0,7.48,34.0,0.02,"1,492"
8,Haryana,44212.0,,,1106.0,1586.0,3.59,-22.0,-0.05,150
9,Himachal Pradesh,55673.0,3224.0,6381.0,5078.0,14683.0,26.37,4.0,0.01,298
10,Jammu and Kashmir,222236.0,4140.0,8760.0,9638.0,22538.0,10.14,-1.0,0.0,"2,105"
11,Jharkhand,79714.0,2587.0,9667.0,11219.0,23473.0,29.45,496.0,0.62,670
12,Karnataka,191791.0,1777.0,20179.0,14176.0,36132.0,18.84,-62.0,-0.03,"3,216"
13,Kerala,38863.0,1529.0,9401.0,6992.0,17922.0,46.12,622.0,1.6,29
14,Madhya Pradesh,308245.0,6632.0,34921.0,35969.0,77522.0,25.15,-178.0,-0.06,"6,389"
15,Maharashtra,307713.0,8720.0,20770.0,21142.0,50632.0,16.45,-14.0,0.0,"4,157"
16,Manipur,22327.0,,6094.0,10168.0,16990.0,76.1,-100.0,-0.45,1
17,Meghalaya,22429.0,,9689.0,7150.0,17288.0,77.08,13.0,0.06,372
18,Mizoram,21081.0,,5900.0,13016.0,19054.0,90.38,-63.0,-0.3,0
19,Nagaland,16579.0,1298.0,4736.0,7010.0,13044.0,78.68,-274.0,-1.65,2
20,Odisha,155707.0,7042.0,21298.0,22007.0,50347.0,32.33,1444.0,0.93,"4,424"
21,Punjab,50362.0,,,1036.0,1772.0,3.52,8.0,0.02,37
22,Rajasthan,342239.0,,4424.0,11590.0,16086.0,4.7,-1.0,0.0,"4,211"
23,Sikkim,7096.0,,2161.0,,3358.0,47.32,-1.0,-0.01,311
24,Tamil Nadu,130058.0,2948.0,10199.0,10697.0,23844.0,18.33,219.0,0.17,"1,212"
25,Tripura,10486.0,,4641.0,3116.0,7866.0,75.01,-111.0,-1.06,66
26,Uttar Pradesh,240928.0,1623.0,4550.0,8176.0,14349.0,5.96,11.0,0.0,806
27,Uttarakhand,53483.0,4785.0,14111.0,5612.0,24508.0,45.82,12.0,0.02,262
28,West Bengal,88752.0,2971.0,4146.0,9688.0,16805.0,18.93,3810.0,4.29,111
29,A&N Islands,8249.0,3754.0,2413.0,,6711.0,81.36,-13.0,-0.16,57
30,Chandigarh,,,,,,15.14,0.26,0.23,0.56
31,Dadra & Nagar Haveli,,,,,,43.38,2.0,0.41,1
32,Daman & Diu,,,,,,8.28,3.27,2.92,0.96
33,Lakshadweep,,,,,,84.56,0.06,0.19,0
34,Puducherry,,,,,,10.43,0.06,0.01,0
35,Grand Total,3287263.0,83502.0,318745.0,295651.0,697898.0,21.23,5871.0,0.18,"41,383"
