,Year,Forest_Cover(ha),Tree_Cover(30%)
1,2001.0,15702.0,62441.0
2,2002.0,11718.0,53035.0
3,2003.0,10846.0,47782.0
4,2004.0,19166.0,74217.0
5,2005.0,15148.0,74217.0
6,2006.0,15126.0,67494.0
7,2007.0,17208.0,73976.0
8,2008.0,20702.0,86045.0
9,2009.0,17112.0,79339.0
10,2010.0,11361.0,51384.0
11,2011.0,16287.0,88585.0
12,2012.0,18804.0,95181.0
13,2013.0,14399.0,80943.0
14,2014.0,21942.0,139241.0
15,2015.0,20997.0,116374.0
16,2016.0,30936.0,175478.0
17,2017.0,29563.0,189677.0
18,2018.0,19310.0,132429.0
