,Administrative area	,Total area (ha),Tree cover	Extent in 2010 (ha),Carbon biomass(Mt),Avg biomass per ha (Mt),Avg annual	emissions 2001-10 (Mt),Avg annual emissions 2011-18 (Mt)
0,Andaman and Nicobar,767307,680192,188271746,275.0,379438,94293
1,Andhra Pradesh,16023918,1000583,196009629,177.0,285833,370261
2,Arunachal Pradesh,8211090,6119808,1844684647,292.0,2046119,3079332
3,Assam,7866387,2570919,540167021,196.0,2037451,3137837
4,Bihar,9444953,206040,32053270,208.0,18614,6371
5,Chandigarh,11901,940,96724,137.0,179,11
6,Chhattisgarh,13564798,2288223,522941325,196.0,409068,520315
7,Dadra and Nagar Haveli,49455,260,91025,198.0,6,0
8,Daman and Diu,8475,3,3107,177.0,0,2
9,Goa,370616,117102,31303528,213.0,6472,9787
10,Gujarat,18606383,7031,3470709,193.0,1343,842
11,Haryana,4412493,40183,8984386,210.0,5465,1489
12,Himachal Pradesh,5568245,1149441,324786617,237.0,78309,32922
13,Jammu and Kashmir,10577361,873826,232325897,216.0,70207,20050
14,Jharkhand,8019205,317420,102838392,184.0,78455,35248
15,Karnataka,19167411,1884633,514651959,226.0,433168,516482
16,Kerala,3767384,2270278,580909883,224.0,382432,1123204
17,Lakshadweep,3752,0,0,0.0,0,0
18,Madhya Pradesh,30852723,868274,211814526,196.0,100523,78255
19,Maharashtra,30776117,880765,201346173,187.0,172158,165935
20,Manipur,2237323,1711044,432136552,253.0,1160070,3256213
21,Meghalaya,2256501,1595555,365306441,216.0,1213836,2953875
22,Mizoram,2129774,1814071,456279696,236.0,898461,4169918
23,NCT of Delhi,150579,122,33217,126.0,135,27
24,Nagaland,1664127,1319972,342532920,261.0,1790822,3565702
25,Odisha,15590707,1920233,538313560,200.0,889407,1260347
26,Puducherry,55441,5616,1256209,180.0,1085,1575
27,Punjab,5034447,69582,12262591,164.0,15120,4634
28,Rajasthan,34228216,4122,2327764,194.0,3827,908
29,Sikkim,709618,254097,65577734,261.0,14739,16971
30,Tamil Nadu,13056364,1001372,225495016,183.0,238060,240331
31,Telangana,11484226,504043,104670426,158.0,299995,298865
32,Tripura,1057122,571578,131231794,195.0,754223,1085428
33,Uttar Pradesh,24124320,370632,86520498,240.0,52842,32897
34,Uttarakhand,5389584,1733960,507773181,260.0,173051,172713
35,West Bengal,8558866,332263,77525752,190.0,141185,81426
