YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT
2006,271.4,369.8,223.7,295.8,1160.7,-17.8,-9.4,-33.1,5.9,-14.7
2007,276.4,525.7,327.2,372.7,1502.0,-16.3,23.7,-13.1,35.3,10.4
2008,349.3,402.3,364.9,210.3,1326.9,5.8,-7.9,5.3,-18.7,-2.5
2009,168.2,305.0,358.7,201.5,1098.1,-49.1,-24.5,1.9,-22.1,-24.1
2010,304.9,315.5,288.4,263.8,1172.6,-16.1,-26.6,-18.5,-8.0,-18.4
2011,332.3,333.5,329.0,260.2,1255.0,-5.1,-23.6,-7.3,-12.2,-12.7
2012,347.9,380.3,264.0,313.4,1305.5,-0.6,-12.9,-25.6,5.7,-9.2
2013,243.3,288.5,286.0,227.7,1045.5,-30.5,-33.9,-19.4,-23.2,-27.3
2014,277.3,329.5,405.1,280.9,1292.8,-20.8,-24.5,14.2,-5.2,-10.1
2015,347.7,368.7,405.8,221.3,1337.7,-0.6,-15.6,14.3,-25.4,-7.0
2016,265.5,431.3,253.3,341.9,1292.1,-24.1,-1.2,-28.7,15.3,-10.2
