,All Minerals Total(in numbers),Fuel Coal,Fuel Lignite,Total Fuel,Metallic Minerals	Bauxite,Metallic Minerals Chromite,Metallic Minerals Iron ore,Metallic Minerals Manganese,Metallic Minerals others,Total Metallic Minerals,Non Metallic Menerals Dolomite,Non Metallic Menerals Felspar,Non Metallic Menerals Fire clay,Non Metallic Menerals Gypsum,Non_Metallic Menerals Kaolin,Non_Metallic Menerals Kaolin,Non Metallic Menerals Mica,Non Metallic Menerals steatite,Non Metallic Menerals other,NonMetallic Menerals Total,NUMBER OF REPORTING MINES IN INDIA PER YEAR
0,3191,591,5,596,182,22,208,129,24,565,122,59,96,43,137,544,38,162,829,2030, 2000-01
1,3193,564,6,570,181,20,221,131,21,574,127,63,91,46,126,568,33,181,814,2049, 2001-02
2,3145,556,6,562,177,20,242,133,19,591,101,53,88,42,117,556,32,186,817,1992, 2002-03
3,3132,554,8,562,188,20,266,122,16,612,120,40,97,46,118,552,31,168,786,1958, 2003-04
4,3209,563,8,571,191,19,281,118,16,625,107,55,102,33,115,600,33,164,804,2013, 2004-05 
5,2999,547,9,556,200,18,284,116,18,636,117,42,79,22,106,550,29,154,708,1807, 2005-06
6,3005,561,9,570,197,21,290,114,17,639,124,33,80,28,104,583,35,139,670,1796, 2006-07
7,3023,559,11,570,209,20,313,130,19,691,121,35,75,31,95,553,31,139,682,1762, 2007-08
8,3075,561,13,574,198,24,328,149,20,719,121,72,51,27,93,601,35,135,647,1782, 2008-09 
9,3055,560,13,573,197,22,320,142,20,701,123,72,51,27,92,565,32,126,693,1781, 2009-10 
10,3118,559,14,573,193,21,336,149,20,719,136,85,60,30,81,592,32,123,687,1826,2010-11 
11,3609,559,14,573,172,22,313,155,20,682,194,123,82,38,105,719,35,138,920,2354,2011-12
12,3978,559,16,575,178,25,310,172,23,708,197,212,74,37,145,778,36,141,1075,2695,2012-13
13,3662,536,16,552,177,26,322,163,23,711,185,275,62,39,160,779,39,116,744,2399,2013.14 *
14,2117,539,19,558,162,26,320,161,24,693,0,0,0,0,0,785,0,0,81,866,2014-15
15,2101,539,19,558,177,24,298,145,24,668,0,0,0,0,0,792,0,0,83,875,2015.16 (P)
