,2009-10,2010-11,2011-12,2012-13,2013-14*,2014-15,2015-16(P),NUMBER OF REPORTING MINES IN INDIA w.r.t STATE of All Minerals Total
0,456.0,456.0,621.0,774.0,637.0,139.0,135.0, Andhra Pradesh
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0, Arunachal Pradesh
2,11.0,11.0,10.0,9.0,6.0,6.0,7.0, Assam
3,6.0,10.0,6.0,6.0,5.0,1.0,1.0, Bihar
4,152.0,167.0,192.0,196.0,173.0,161.0,162.0, Chhattisgarh
5,75.0,79.0,74.0,75.0,86.0,82.0,77.0, Goa
6,446.0,429.0,441.0,487.0,470.0,211.0,225.0, Gujarat 
7,0.0,0.0,0.0,1.0,1.0,0.0,0.0, Haryana
8,26.0,24.0,25.0,20.0,20.0,17.0,17.0, Himachal Pradesh
9,11.0,10.0,10.0,8.0,7.0,6.0,10.0, Jammu & Kashmir
10,299.0,297.0,299.0,293.0,231.0,219.0,211.0,Jharkhand
11,233.0,251.0,207.0,219.0,175.0,160.0,146.0, Karnataka
12,30.0,30.0,43.0,55.0,69.0,9.0,8.0, Kerala
13,287.0,317.0,417.0,421.0,350.0,289.0,274.0, Madhya Pradesh
14,158.0,161.0,158.0,151.0,165.0,138.0,134.0, Maharashtra
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0, Manipur
16,9.0,10.0,13.0,14.0,14.0,17.0,16.0, Meghalaya
17,221.0,192.0,183.0,192.0,179.0,165.0,157.0, Odisha
18,289.0,308.0,418.0,508.0,552.0,65.0,76.0, Rajasthan
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0, Sikkim
20,175.0,192.0,305.0,368.0,366.0,234.0,252.0, Tamil Nadu
21,,,,,0.0,88.0,83.0,Telangana
22,25.0,24.0,25.0,22.0,19.0,6.0,6.0, Uttar Pradesh
23,34.0,40.0,37.0,34.0,15.0,3.0,3.0, Uttarakhand
24,112.0,109.0,124.0,127.0,121.0,100.0,100.0, West Bengal
25,3055.0,3118.0,3609.0,3981.0,3662.0,2117.0,2101.0,Total No of Mines
