,State/ Uts,Geographical Area,2013 Assessment - Very Dense Forest,2013 Assessment - Mod. Dense Forest,2013 Assessment - Open Forest Forest,2013 Assessment - Total Forest Forest,Percent of Geographical Area,Change in Forest Cover wrt ISFR 2011,Change percent,Scrub
0,Andhra Pradesh,275069,850.0,26079.0,19187.0,46116.0,16.77,-273.0,-0.1,10465.0
1,Arunachal Pradesh,83743,20828.0,31414.0,15079.0,67321.0,80.39,-89.0,-0.11,121.0
2,Assam,78438,1444.0,11345.0,14882.0,27671.0,35.28,-2.0,0.0,182.0
3,Bihar,94163,247.0,3380.0,3664.0,7291.0,7.74,446.0,0.47,115.0
4,Chhattisgarh,135191,4153.0,34865.0,16603.0,55621.0,41.14,-53.0,-0.04,117.0
5,Delhi,1483,6.76,49.38,123.67,179.81,12.12,3.61,0.24,2.24
6,Goa,3702,543.0,585.0,1091.0,2219.0,59.94,0.0,0.0,0.0
7,Gujarat,196022,376.0,5220.0,9057.0,14653.0,7.48,34.0,0.02,1492.0
8,Haryana,44212,27.0,453.0,1106.0,1586.0,3.59,-22.0,-0.05,150.0
9,Himachal Pradesh,55673,3224.0,6381.0,5078.0,14683.0,26.37,4.0,0.01,298.0
10,Jammu and Kashmir,222236,4140.0,8760.0,9638.0,22538.0,10.14,-1.0,0.0,2105.0
11,Jharkhand,79714,2587.0,9667.0,11219.0,23473.0,29.45,496.0,0.62,670.0
12,Karnataka,191791,1777.0,20179.0,14176.0,36132.0,18.84,-62.0,-0.03,3216.0
13,Kerala,38863,1529.0,9401.0,6992.0,17922.0,46.12,622.0,1.6,29.0
14,Madhya Pradesh,308245,6632.0,34921.0,35969.0,77522.0,25.15,-178.0,-0.06,6389.0
15,Maharashtra,307713,8720.0,20770.0,21142.0,50632.0,16.45,-14.0,0.0,4157.0
16,Manipur,22327,728.0,6094.0,10168.0,16990.0,76.1,-100.0,-0.45,1.0
17,Meghalaya,22429,449.0,9689.0,7150.0,17288.0,77.08,13.0,0.06,372.0
18,Mizoram,21081,138.0,5900.0,13016.0,19054.0,90.38,-63.0,-0.3,0.0
19,Nagaland,16579,1298.0,4736.0,7010.0,13044.0,78.68,-274.0,-1.65,2.0
20,Odisha,155707,7042.0,21298.0,22007.0,50347.0,32.33,1444.0,0.93,4424.0
21,Punjab,50362,0.0,736.0,1036.0,1772.0,3.52,8.0,0.02,37.0
22,Rajasthan,342239,72.0,4424.0,11590.0,16086.0,4.7,-1.0,0.0,4211.0
23,Sikkim,7096,500.0,2161.0,697.0,3358.0,47.32,-1.0,-0.01,311.0
24,Tamil Nadu,130058,2948.0,10199.0,10697.0,23844.0,18.33,219.0,0.17,1212.0
25,Tripura,10486,109.0,4641.0,3116.0,7866.0,75.01,-111.0,-1.06,66.0
26,Uttar Pradesh,240928,1623.0,4550.0,8176.0,14349.0,5.96,11.0,0.0,806.0
27,Uttarakhand,53483,4785.0,14111.0,5612.0,24508.0,45.82,12.0,0.02,262.0
28,West Bengal,88752,2971.0,4146.0,9688.0,16805.0,18.93,3810.0,4.29,111.0
29,A&N Islands,8249,3754.0,2413.0,544.0,6711.0,81.36,-13.0,-0.16,57.0
30,Chandigarh,114,1.36,9.66,6.24,17.26,15.14,0.26,0.23,0.56
31,Dadra & Nagar Haveli,491,0.0,114.0,99.0,213.0,43.38,2.0,0.41,1.0
32,Daman & Diu,12,0.0,1.87,7.4,9.27,8.28,3.27,2.92,0.96
33,Lakshadweep,32,0.0,17.18,9.88,27.06,84.56,0.06,0.19,0.0
34,Puducherry,480,0.0,35.23,14.83,50.06,10.43,0.06,0.01,0.0
