,State/Union Territory,Geographical Area,Actual Forest Cover-09,Actual Forest Cover-11,Actual Forest Cover-13,Actual Forest Cover-15,VDF-09,VDF-11,VDF-13,VDF-15,MDF-09,MDF-11,MDF-13,MDF-15,OF-09,OF-11,OF-13,OF-15,Mangrove-09,Mangrove-11,Mangrove-13,Mangrove-15,Scrub-09,Scrub-11,Scrub-13,Scrub-15,Non-Forest-09,Non-Forest-11,Non-Forest-13,Non-Forest-15
0, Andhra Pradesh,160204,46670.0,46389.0,24357.0,24424.0,850,850.0,850.0,375.0,26377,26242.0,26079.0,13093.0,19443,19297.0,19187.0,10956.0,353,352,352.0,367,10372,10768,10465.0,8562.0,149832,149436.0,125382.0,127218.0
1, Arunachal Pradesh,83743,67484,67410,67321.0,67248.0,20873,20868.0,20828.0,20804.0,31574,31519.0,31414.0,31301.0,15037,15023.0,15079.0,15143.0,,,0.0,,111,122,121.0,264.0,16148,16211.0,16301.0,16231.0
2, Assam,78438,27692,27673,27671.0,27623.0,1461,1444.0,1444.0,1441.0,11558,11404.0,11345.0,11268.0,14673,14825.0,14882.0,14914.0,,,0.0,,179,182,182.0,384.0,50567,50583.0,50585.0,50431.0
3, Bihar,94163,6804,6845,7291.0,7288.0,231,231.0,247.0,248.0,3248,3280.0,3380.0,3376.0,3325,3334.0,3664.0,3664.0,,,0.0,,134,134,115.0,120.0,87225,87184.0,86757.0,86755.0
4, Chhattisgarh,135191,55678,55674,55621.0,55586.0,4163,4163.0,4153.0,4152.0,34911,34911.0,34865.0,34846.0,16604,16600.0,16603.0,16588.0,,,0.0,,107,119,117.0,117.0,79406,79398.0,79453.0,79488.0
5, Delhi,1483,176.58,176,180.0,189.0,6.76,7.0,7.0,6.94,49.84,49.0,49.0,57.15,119.98,120.0,124.0,124.68,,,0.0,,1,0.7,2.0,2.0,1305.42,1306.3,1301.0,1292.0
6, Goa ,3702,2212,2219,2219.0,2224.0,543.376,543.0,543.0,542.0,578,585.0,585.0,580.0,1091,1091.0,1091.0,1102.0,17,22,22.0,26,1,0,0.0,0.0,1489,1483.0,1483.0,1478.0
7, Gujarat,196022,14620,14619,14653.0,14660.0,376,376.0,376.0,376.0,5249,5231.0,5220.0,5220.0,8995,9012.0,9057.0,9064.0,1046,1058,1103.0,1107,1463,1479,1492.0,1490.0,179939,179924.0,179877.0,179872.0
8, Haryana,44212,1594,1608,1586.0,1584.0,27,27.0,27.0,27.0,463,457.0,453.0,452.0,1104,1124.0,1106.0,1105.0,        ,        ,0.0,,145,150,150.0,151.0,42473,42454.0,42476.0,42477.0
9, Himachal Pradesh,55673,14668,14679,14683.0,14696.0,3224,3224.0,3224.0,3224.0,6383,6381.0,6381.0,6381.0,5061,5074.0,5078.0,5091.0,        ,        ,0.0,,327,328,298.0,301.0,40678,40666.0,40692.0,40676.0
10, Jammu & Kashmir,222236,22537,22539,22538.0,22988.0,4140,4140.0,4140.0,4061.0,8760,8760.0,8760.0,8815.0,9637,9639.0,9638.0,10112.0,        ,        ,0.0,,2036,2105,2105.0,625.0,197663,197592.0,197593.0,198623.0
11, Jharkhand,79714,22894,22977,23473.0,23478.0,2590,2590.0,2587.0,2588.0,9899,9917.0,9667.0,9663.0,10405,10470.0,11219.0,11227.0,        ,        ,0.0,,683,683,670.0,685.0,56137,56054.0,55571.0,55551.0
12, Karnataka,191791,36190,36194,36132.0,36421.0,1777,1777.0,1777.0,1781.0,20181,20179.0,20179.0,20063.0,14232,14238.0,14176.0,14577.0,3,3,3.0,3,3176,3175,3216.0,3191.0,152425,152422.0,152443.0,152179.0
13, Kerala,38863,17324,17300,17922.0,19239.0,1443,1442.0,1529.0,1523.0,9410,9394.0,9401.0,9301.0,6471,6464.0,6992.0,8415.0,5,6,6.0,9,58,58,29.0,36.0,21481,21505.0,20912.0,19588.0
14, Madhya Pradesh,308245,77700,77700,77522.0,77462.0,6647,6640.0,6632.0,6629.0,35007,34986.0,34921.0,34902.0,36046,36074.0,35969.0,35931.0,        ,        ,0.0,,6401,6396,6389.0,6383.0,224144,224149.0,224334.0,224400.0
