,tsc_tree_cover_loss_drivers__type,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
0,Shifting agriculture,2001,7110.184005
1,Shifting agriculture,2002,7528.989108
2,Shifting agriculture,2003,6974.420396
3,Shifting agriculture,2004,10657.99401
4,Shifting agriculture,2005,9473.534674
5,Shifting agriculture,2006,13037.0195
6,Shifting agriculture,2007,15899.36635
7,Shifting agriculture,2008,18078.52085
8,Shifting agriculture,2009,16445.56953
9,Shifting agriculture,2010,8316.685416
10,Shifting agriculture,2011,20159.77589
11,Shifting agriculture,2012,14360.3207
12,Shifting agriculture,2013,7431.788704
13,Shifting agriculture,2014,14271.25264
14,Shifting agriculture,2015,7891.903854
15,Shifting agriculture,2016,13380.48866
16,Shifting agriculture,2017,22952.77999
17,Shifting agriculture,2018,17010.49705
18,Shifting agriculture,2019,18877.68164
19,Shifting agriculture,2020,19060.08243
