,tsc_tree_cover_loss_drivers__type,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
0,Urbanization,2001,95.1974617571878
1,Urbanization,2002,65.7191788272057
2,Urbanization,2003,38.3884906662293
3,Urbanization,2004,64.6752384392923
4,Urbanization,2005,77.1714132488195
5,Urbanization,2006,94.8355360151359
6,Urbanization,2007,137.896558228715
7,Urbanization,2008,123.399841476994
8,Urbanization,2009,102.954979860497
9,Urbanization,2010,117.184057059578
10,Urbanization,2011,182.143598251696
11,Urbanization,2012,194.174444331881
12,Urbanization,2013,110.76210009114
13,Urbanization,2014,221.608176953345
14,Urbanization,2015,84.1274079761568
15,Urbanization,2016,216.494923163644
16,Urbanization,2017,186.737217027506
17,Urbanization,2018,158.278898149477
18,Urbanization,2019,135.021831395934
19,Urbanization,2020,173.255479808049
