,tsc_tree_cover_loss_drivers__type,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
0,Wildfire,2001,149.0244311991
1,Wildfire,2002,108.43058263904
2,Wildfire,2003,114.027430286063
3,Wildfire,2004,230.537896476464
4,Wildfire,2005,180.562391623084
5,Wildfire,2006,189.214360473241
6,Wildfire,2007,192.8820310451
7,Wildfire,2008,119.050669628023
8,Wildfire,2009,140.812699032775
9,Wildfire,2010,70.7152039551115
10,Wildfire,2011,66.3311845721025
11,Wildfire,2012,133.526579813351
12,Wildfire,2013,145.305743527161
13,Wildfire,2014,128.965833626088
14,Wildfire,2015,122.32123792492
15,Wildfire,2016,252.618498279154
16,Wildfire,2017,450.238077741146
17,Wildfire,2018,210.839700619383
18,Wildfire,2019,134.808930966523
19,Wildfire,2020,178.424940862569
